Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
04/06/2000 00:00:00,4/6/2000,*,*,Hidrelétrica,*,4,32317,9208331
05/06/2000 00:00:00,5/6/2000,*,*,Hidrelétrica,*,4,38794,04999971
06/06/2000 00:00:00,6/6/2000,*,*,Hidrelétrica,*,4,39921,60833311
07/06/2000 00:00:00,7/6/2000,*,*,Hidrelétrica,*,4,40120,39166643
08/06/2000 00:00:00,8/6/2000,*,*,Hidrelétrica,*,4,40169,47499973
09/06/2000 00:00:00,9/6/2000,*,*,Hidrelétrica,*,4,40324,07499977
10/06/2000 00:00:00,10/6/2000,*,*,Hidrelétrica,*,4,36967,05416644
11/06/2000 00:00:00,11/6/2000,*,*,Hidrelétrica,*,4,32648,2541664
12/06/2000 00:00:00,12/6/2000,*,*,Hidrelétrica,*,4,39386,50416638
13/06/2000 00:00:00,13/6/2000,*,*,Hidrelétrica,*,4,40172,46666645
14/06/2000 00:00:00,14/6/2000,*,*,Hidrelétrica,*,4,40431,59166638
15/06/2000 00:00:00,15/6/2000,*,*,Hidrelétrica,*,4,40536,21666641
16/06/2000 00:00:00,16/6/2000,*,*,Hidrelétrica,*,4,40622,93749978
17/06/2000 00:00:00,17/6/2000,*,*,Hidrelétrica,*,4,37429,41666643
18/06/2000 00:00:00,18/6/2000,*,*,Hidrelétrica,*,4,32650,74999974
19/06/2000 00:00:00,19/6/2000,*,*,Hidrelétrica,*,4,39116,94999977
20/06/2000 00:00:00,20/6/2000,*,*,Hidrelétrica,*,4,40209,08333306
21/06/2000 00:00:00,21/6/2000,*,*,Hidrelétrica,*,4,39354,16249975
22/06/2000 00:00:00,22/6/2000,*,*,Hidrelétrica,*,4,33145,18333309
23/06/2000 00:00:00,23/6/2000,*,*,Hidrelétrica,*,4,36477,34583307
24/06/2000 00:00:00,24/6/2000,*,*,Hidrelétrica,*,4,34321,90833309
25/06/2000 00:00:00,25/6/2000,*,*,Hidrelétrica,*,4,31208,57916641
26/06/2000 00:00:00,26/6/2000,*,*,Hidrelétrica,*,4,38247,79999972
27/06/2000 00:00:00,27/6/2000,*,*,Hidrelétrica,*,4,39613,98749977
28/06/2000 00:00:00,28/6/2000,*,*,Hidrelétrica,*,4,39758,55833308
29/06/2000 00:00:00,29/6/2000,*,*,Hidrelétrica,*,4,39733,40416639
30/06/2000 00:00:00,30/6/2000,*,*,Hidrelétrica,*,4,39666,08749972
01/07/2000 00:00:00,1/7/2000,*,*,Hidrelétrica,*,4,36294,07499977
02/07/2000 00:00:00,2/7/2000,*,*,Hidrelétrica,*,4,32399,26249977
03/07/2000 00:00:00,3/7/2000,*,*,Hidrelétrica,*,4,39137,52499973
04/07/2000 00:00:00,4/7/2000,*,*,Hidrelétrica,*,4,39577,07916641
05/07/2000 00:00:00,5/7/2000,*,*,Hidrelétrica,*,4,39613,75416644
06/07/2000 00:00:00,6/7/2000,*,*,Hidrelétrica,*,4,39137,97083309
07/07/2000 00:00:00,7/7/2000,*,*,Hidrelétrica,*,4,39307,74166642
08/07/2000 00:00:00,8/7/2000,*,*,Hidrelétrica,*,4,36069,89999973
09/07/2000 00:00:00,9/7/2000,*,*,Hidrelétrica,*,4,32065,59583306
10/07/2000 00:00:00,10/7/2000,*,*,Hidrelétrica,*,4,38994,31666642
11/07/2000 00:00:00,11/7/2000,*,*,Hidrelétrica,*,4,40209,67083309
12/07/2000 00:00:00,12/7/2000,*,*,Hidrelétrica,*,4,39632,59999977
13/07/2000 00:00:00,13/7/2000,*,*,Hidrelétrica,*,4,39079,69583309
14/07/2000 00:00:00,14/7/2000,*,*,Hidrelétrica,*,4,39084,7416664
15/07/2000 00:00:00,15/7/2000,*,*,Hidrelétrica,*,4,35707,8416664
16/07/2000 00:00:00,16/7/2000,*,*,Hidrelétrica,*,4,30941,28749982
17/07/2000 00:00:00,17/7/2000,*,*,Hidrelétrica,*,4,36933,57083305
18/07/2000 00:00:00,18/7/2000,*,*,Hidrelétrica,*,4,38375,73874971
19/07/2000 00:00:00,19/7/2000,*,*,Hidrelétrica,*,4,38622,07499974
20/07/2000 00:00:00,20/7/2000,*,*,Hidrelétrica,*,4,38323,25833305
21/07/2000 00:00:00,21/7/2000,*,*,Hidrelétrica,*,4,38584,17499976
22/07/2000 00:00:00,22/7/2000,*,*,Hidrelétrica,*,4,36074,13333306
23/07/2000 00:00:00,23/7/2000,*,*,Hidrelétrica,*,4,31502,67499976
24/07/2000 00:00:00,24/7/2000,*,*,Hidrelétrica,*,4,37192,86249975
25/07/2000 00:00:00,25/7/2000,*,*,Hidrelétrica,*,4,38603,53749974
26/07/2000 00:00:00,26/7/2000,*,*,Hidrelétrica,*,4,38863,39999977
27/07/2000 00:00:00,27/7/2000,*,*,Hidrelétrica,*,4,38811,42083307
28/07/2000 00:00:00,28/7/2000,*,*,Hidrelétrica,*,4,38629,98749971
29/07/2000 00:00:00,29/7/2000,*,*,Hidrelétrica,*,4,36031,54999974
30/07/2000 00:00:00,30/7/2000,*,*,Hidrelétrica,*,4,31365,17916644
31/07/2000 00:00:00,31/7/2000,*,*,Hidrelétrica,*,4,37587,92499974
01/08/2000 00:00:00,1/8/2000,*,*,Hidrelétrica,*,4,38619,78749978
02/08/2000 00:00:00,2/8/2000,*,*,Hidrelétrica,*,4,39027,24583311
03/08/2000 00:00:00,3/8/2000,*,*,Hidrelétrica,*,4,39278,59999974
04/08/2000 00:00:00,4/8/2000,*,*,Hidrelétrica,*,4,38928,2458331
05/08/2000 00:00:00,5/8/2000,*,*,Hidrelétrica,*,4,35040,6416664
06/08/2000 00:00:00,6/8/2000,*,*,Hidrelétrica,*,4,30516,34166643
